出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管佔比
"1141104","113","1240","茂生農經","982","841","740","649","6.00%"
"1141104","113","1259","安心","346","283","631","603","62.00%"
"1141104","113","1264","德麥","1187","1020","909","732","16.67%"
"1141104","113","1268","漢來美食","690","604","668","566","33.21%"
"1141104","113","1294","漢田生技","850","717","685","596","36.59%"
"1141104","113","1295","生合","N/A","N/A","N/A","N/A","38.24%"
"1141104","113","1336","台翰","1317","1126","1027","782","34.76%"
"1141104","113","1565","精華","814","691","719","668","50.00%"
"1141104","113","1569","濱川","1082","813","700","647","14.29%"
"1141104","113","1570","力肯","718","589","586","479","22.73%"
"1141104","113","1580","新麥","1348","1182","1000","970","33.00%"
"1141104","113","1584","精剛","1078","891","755","681","28.00%"
"1141104","113","1586","和勤","776","651","638","574","35.29%"
"1141104","113","1591","駿吉-KY","N/A","N/A","N/A","N/A","0.00%"
"1141104","113","1593","祺驊","872","735","598","465","6.32%"
"1141104","113","1595","川寶","1193","1028","762","644","15.00%"
"1141104","113","1599","宏佳騰","770","657","543","512","26.10%"
"1141104","113","1742","台蠟","843","720","588","546","42.90%"
"1141104","113","1777","生泰","1160","1009","959","889","35.71%"
"1141104","113","1781","合世","1052","871","769","710","12.51%"
"1141104","113","1784","訊聯","1145","974","888","714","66.70%"
"1141104","113","1785","光洋科","1083","894","927","714","30.99%"
"1141104","113","1788","杏昌","1369","1192","1091","916","21.00%"
"1141104","113","1796","金穎生技","735","606","617","584","5.80%"
"1141104","113","1799","易威","1311","1229","713","662","33.33%"
"1141104","113","1813","寶利徠","819","639","624","528","38.00%"
"1141104","113","1815","富喬","754","617","727","699","18.00%"
"1141104","113","2035","唐榮公司","1407","1163","1173","1229","0.12%"
"1141104","113","2061","風青","2024","1057","377","462","33.33%"
"1141104","113","2063","世鎧","709","583","555","514","14.29%"
"1141104","113","2064","晉椿","703","559","563","509","20.51%"
"1141104","113","2065","世豐","847","708","677","588","43.75%"
"1141104","113","2066","世德","765","639","598","529","13.33%"
"1141104","113","2067","嘉鋼","658","560","503","479","4.43%"
"1141104","113","2070","精湛","935","796","718","670","31.00%"
"1141104","113","2073","雄順","755","645","626","571","21.73%"
"1141104","113","2221","大甲","696","563","573","499","27.03%"
"1141104","113","2230","泰茂","807","703","541","490","29.00%"
"1141104","113","2235","謚源","647","547","502","454","4.06%"
"1141104","113","2596","綠意","1317","1138","777","811","28.51%"
"1141104","113","2640","大車隊","805","670","653","512","22.50%"
"1141104","113","2641","正德","1140","985","988","902","23.10%"
"1141104","113","2643","捷迅","867","700","829","687","55.56%"
"1141104","113","2718","全心投控","2549","2286","1199","888","33.33%"
"1141104","113","2719","燦星旅","823","654","622","528","60.00%"
"1141104","113","2724","藝舍-KY","N/A","N/A","N/A","N/A","100.00%"
"1141104","113","2726","雅茗-KY","N/A","N/A","N/A","N/A","48.72%"
"1141104","113","2729","瓦城","450","373","690","620","40.99%"
"1141104","113","2732","六角","711","595","630","524","37.93%"
"1141104","113","2734","易飛網","778","634","580","500","54.00%"
"1141104","113","2736","富野","611","517","445","400","58.33%"
"1141104","113","2740","天蔥","601","488","587","505","28.50%"
"1141104","113","2743","山富","913","776","737","599","64.29%"
"1141104","113","2745","五福","779","631","694","575","57.57%"
"1141104","113","2751","王座","474","390","563","523","52.00%"
"1141104","113","2752","豆府","451","373","619","560","40.72%"
"1141104","113","2754","亞洲藏壽司","380","317","676","481","62.50%"
"1141104","113","2755","揚秦","701","582","709","607","6.98%"
"1141104","113","2756","聯發國際","887","673","797","609","48.91%"
"1141104","113","2916","滿心","700","578","543","480","42.00%"
"1141104","113","2924","宏太-KY","N/A","N/A","N/A","N/A","50.00%"
"1141104","113","2926","誠品生活","849","708","765","632","48.15%"
"1141104","113","2937","集雅社","812","669","792","674","28.00%"
"1141104","113","2941","米斯特","513","409","499","444","62.82%"
"1141104","113","2947","振宇五金","557","438","479","431","25.00%"
"1141104","113","2948","寶陞","1108","960","868","849","37.00%"
"1141104","113","2949","欣新網","1043","871","789","680","55.00%"
"1141104","113","3064","泰偉","1043","882","835","692","14.28%"
"1141104","113","3066","李洲","1101","902","550","494","23.53%"
"1141104","113","3067","全域","1063","918","656","677","16.67%"
"1141104","113","3071","協禧","827","684","685","610","26.00%"
"1141104","113","3073","天方能源","1287","1114","764","655","25.00%"
"1141104","113","3078","僑威","1865","1673","1161","912","25.00%"
"1141104","113","3081","聯亞","1126","971","870","757","13.21%"
"1141104","113","3083","網龍","977","849","792","661","23.68%"
"1141104","113","3085","新零售","1205","1026","517","556","44.44%"
"1141104","113","3086","華義","744","610","622","537","31.00%"
"1141104","113","3088","艾訊","1319","1131","1096","960","22.00%"
"1141104","113","3093","港建*","1373","1170","1032","985","7.00%"
"1141104","113","3095","及成","929","759","746","646","39.00%"
"1141104","113","3105","穩懋","1127","958","1013","845","15.07%"
"1141104","113","3114","好德","1444","1126","962","751","18.18%"
"1141104","113","3115","富榮綱","975","800","680","525","8.33%"
"1141104","113","3118","進階","1167","997","972","812","32.50%"
"1141104","113","3122","笙泉","1385","1196","1096","1004","20.00%"
"1141104","113","3128","昇銳","793","693","656","562","23.08%"
"1141104","113","3131","弘塑","1961","1775","1718","1559","16.70%"
"1141104","113","3141","晶宏","1625","1399","1268","1204","20.00%"
"1141104","113","3147","大綜","1183","1010","956","666","33.22%"
"1141104","113","3152","璟德","913","782","814","646","31.80%"
"1141104","113","3162","精確","3113","2883","648","639","30.00%"
"1141104","113","3163","波若威","1174","990","978","813","20.69%"
"1141104","113","3169","亞信","2080","1866","1591","1399","22.00%"
"1141104","113","3171","炎洲流通","1217","1052","883","562","17.74%"
"1141104","113","3176","基亞","1591","1338","1049","906","60.00%"
"1141104","113","3178","公準","683","551","575","514","33.98%"
